batter,ACI,ACI_HUNT,ACI_2K,ACI_RISP,Pitches,ACI_20,ACI_40,ACI_80,player_name,batting_team
696100,0.364,0.363,0.371,0.387,1140,0.396,0.402,0.412,hunter goodman,COL
678391,0.363,0.376,0.342,0.331,575,0.44,0.481,0.488,jorbit vivas,WSH
673357,0.363,0.345,0.408,0.382,455,0.354,0.458,0.407,luis robert,NYM
682663,0.359,0.279,0.465,0.326,551,0.426,0.383,0.345,agustín ramírez,MIA
660670,0.354,0.319,0.451,0.327,1000,0.399,0.431,0.409,ronald acuña,ATL
691781,0.352,0.324,0.375,0.381,711,0.541,0.494,0.443,brady house,WSH
680779,0.351,0.279,0.383,0.322,575,0.449,0.387,0.352,henry davis,PIT
595978,0.349,0.284,0.446,0.326,450,0.383,0.435,0.4,austin hedges,CLE
668723,0.348,0.318,0.374,0.339,577,0.448,0.372,0.388,ryan vilade,TB
676694,0.348,0.349,0.376,0.346,463,0.41,0.403,0.435,jake meyers,HOU
682657,0.347,0.314,0.294,0.364,966,0.312,0.385,0.401,angel martínez,CLE
643217,0.345,0.361,0.338,0.348,932,0.323,0.355,0.345,andrew benintendi,CWS
693304,0.342,0.318,0.337,0.319,1052,0.359,0.348,0.384,nick gonzales,PIT
572233,0.34,0.291,0.41,0.339,1221,0.386,0.423,0.434,christian walker,HOU
666176,0.336,0.338,0.332,0.346,1243,0.355,0.388,0.402,jo adell,LAA
668709,0.336,0.307,0.398,0.327,757,0.45,0.499,0.42,jj bleday,CIN
665750,0.335,0.285,0.395,0.4,899,0.38,0.372,0.387,leody taveras,BAL
669127,0.332,0.332,0.347,0.311,1126,0.344,0.317,0.367,shea langeliers,ATH
677942,0.331,0.33,0.341,0.316,680,0.268,0.328,0.319,blaze alexander,BAL
643396,0.329,0.305,0.371,0.371,499,0.391,0.346,0.396,isiah kiner-falefa,BOS
660162,0.329,0.232,0.417,0.378,630,0.359,0.302,0.339,yoán moncada,LAA
669065,0.328,0.286,0.389,0.389,813,0.25,0.312,0.397,kyle stowers,MIA
671277,0.328,0.331,0.351,0.342,891,0.321,0.319,0.359,luis garcía,WSH
681715,0.328,0.315,0.415,0.323,589,0.355,0.322,0.381,heriberto hernandez,MIA
681481,0.326,0.262,0.367,0.343,728,0.356,0.333,0.331,kerry carpenter,DET
686668,0.325,0.296,0.364,0.336,510,0.448,0.371,0.364,brenton doyle,COL
666018,0.325,0.307,0.387,0.293,1255,0.446,0.452,0.401,jonathan aranda,TB
669016,0.322,0.31,0.291,0.308,1009,0.33,0.383,0.359,brandon marsh,PHI
669236,0.322,0.299,0.328,0.283,659,0.263,0.314,0.33,jeremiah jackson,BAL
678218,0.321,0.303,0.343,0.331,601,0.351,0.409,0.396,brandon valenzuela,TOR
621020,0.32,0.28,0.388,0.326,1139,0.35,0.329,0.332,dansby swanson,CHC
656537,0.32,0.286,0.41,0.289,453,0.326,0.332,0.353,derek hill,CWS
660821,0.319,0.291,0.337,0.305,866,0.363,0.39,0.368,jesús sánchez,TOR
701538,0.319,0.306,0.366,0.337,1202,0.534,0.387,0.341,jackson merrill,SD
700337,0.318,0.278,0.372,0.347,657,0.258,0.286,0.315,edgar quero,CWS
805999,0.318,0.27,0.392,0.326,525,0.29,0.277,0.349,a. j. ewing,NYM
646240,0.317,0.274,0.351,0.35,1273,0.347,0.395,0.341,rafael devers,SF
805779,0.317,0.324,0.218,0.335,663,0.418,0.339,0.385,jacob wilson,ATH
691788,0.316,0.282,0.329,0.28,455,0.31,0.378,0.363,joe mack,MIA
642086,0.316,0.272,0.367,0.312,675,0.388,0.341,0.371,dominic smith,ATL
681393,0.315,0.296,0.394,0.278,888,0.356,0.351,0.318,connor norby,MIA
677649,0.315,0.283,0.342,0.36,918,0.355,0.322,0.317,ezequiel duran,TEX
691785,0.315,0.295,0.414,0.314,801,0.481,0.444,0.407,marcelo mayer,BOS
